Player Name,fpts,ATT,YDS,TDS,REC,YDS,TDS,FL,value
Sammie Coates HOU,12.2,0,0,0,5,94,0.5,0.1,
Justin Hunter PIT,11.9,0,0,0,5,58,1.1,0.1,
Josh Malone CIN,11.2,1,5,0,8,94,0.4,0.4,
Kendrick Bourne SF,10.9,0,0,0,8,107.5,0.1,0.1,
Leonte Carroo MIA,10.5,0,0,0,9,89,0.3,0.1,
Markus Wheaton PHI,10.1,0,0,0,5,79,0.4,0.1,
Johnny Holton OAK,9.9,0,0,0,5,83,0.5,0.7,
Michael Clark GB,9.9,0,0,0,9,99,0,0,
Michael Campanaro TEN,9.7,3,15,0,6.5,72,0.2,0.1,
Jaleel Scott BAL,9.6,0,0,0,8,86,0.3,0.4,
Braxton Berrios NE,9.4,0,0,0,5,70,0.4,0,
Equanimeous St. Brown GB,8.8,0,0,0,5,58,0.5,0,
Marquez Valdes-Scantling GB,8.8,0,0,0,5,58,0.5,0,
Austin Carr NO,8.8,0,0,0,5,66,0.4,0.1,
Jaydon Mickens JAC,8.7,0,0,0,3,35,1.1,0.7,
Tommylee Lewis NO,8.7,1,6,0,7,84,0.2,0.6,
Richie James SF,8.5,0,0,0,5,69,0.3,0.1,
Max McCaffrey SF,8.3,0,0,0,6,67,0.3,0.1,
Krishawn Hogan IND,8.3,0,0,0,7,83,0,0,
Geremy Davis LAC,8.2,0,0,0,4,64,0.3,0,
Dylan Cantrell LAC,8.2,0,0,0,4,64,0.3,0,
Justin Watson TB,8.1,0,0,0,5,65,0.3,0.1,
Trey Quinn WAS,8,0,0,0,5,64,0.3,0.1,
Russell Gage ATL,8,0,0,0,4,62,0.3,0,
Reggie Davis ATL,8,0,0,0,4,62,0.3,0,
DeAndrew White HOU,7.8,0,0,0,4,62,0.3,0.1,
Marvin Hall ATL,7.8,0,0,0,4.5,67.5,0.2,0.1,
Maurice Harris WAS,7.7,0,0,0,5,67,0.2,0.1,
Tanner McEvoy SEA,7.5,0,0,0,5,80.5,0.1,0.6,
Deon Cain IND,7.4,0,0,0,4,56,0.3,0,
Freddie Martino TB,7.4,0,0,0,5,72.5,0.1,0.1,
Jarius Wright CAR,7.3,0,0,0,5.5,63,0.2,0.1,
Damion Ratley CLE,7.3,0,0,0,4,57,0.3,0.1,
Marcell Ateman OAK,7.2,0,0,0,4,56,0.3,0.1,
Andy Jones DET,7.1,0,0,0,4,55,0.3,0.1,
Shelton Gibson PHI,6.9,0,0,0,5,61.5,0.2,0.1,
Marcus Johnson SEA,6.7,0,0,0,5,59,0.2,0.2,
Jordan Taylor DEN,6.7,0,0,0,5,57,0.2,0.1,
Auden Tate CIN,6.6,0,0,0,4,50,0.3,0.1,
Tanner Gentry CHI,6.3,0,0,0,4,53,0.2,0.1,
J.D. McKissic SEA,6.2,0,0,0,7,48,0.3,0.2,
Charone Peake NYJ,6.1,0,0,0,7,57,0.1,0.1,
Javon Wims CHI,6,0,0,0,4,48,0.2,0,
Quan Bray BUF,6,0,0,0,5,54,0.1,0,
Shane Wynn JAC,5.9,0,0,0,3,49,0.2,0.1,
Noah Brown DAL,5.8,0,0,0,5,48,0.2,0.1,
Charles Johnson NYJ,5.8,0,0,0,5,60,0,0.1,
Ray-Ray McCloud BUF,5.7,0,0,0,4,45,0.2,0,
Austin Proehl BUF,5.7,0,0,0,4,45,0.2,0,
Brandon Reilly BUF,5.7,0,0,0,4,45,0.2,0,
JoJo Natson NYJ,5.5,0,0,0,4,45,0.2,0.1,
Ricardo Louis CLE,5.5,0,0,0,4,57,0,0.1,
Kaelin Clay BUF,5,0,0,0,5,62,0,0.6,
Cody Core CIN,4.8,0,0,0,4,50,0,0.1,
Chris Thompson WAS,4.3,0,0,0,3,45,0,0.1,
Aaron Burbridge SF,3.7,0,0,0,3,43,0,0.3,
Jehu Chesson KC,3.7,0,0,0,3,31,0.1,0,
Jeff Janis CLE,2.6,0,0,0,2,22,0.1,0.1,
Chad Hansen NYJ,2.5,0,0,0,2,27,0,0.1,
Andre Roberts NYJ,2.5,0,0,0,3,33,0.1,0.7,
Isaiah McKenzie DEN,2.3,1,4,0,3.5,36.5,0,0.9,
Dwayne Harris OAK,2,0,0,0,0,4,0.4,0.4,
Kalif Raymond NYG,1.9,0,0,0,2,23,0.1,0.5,
Vince Mayle BAL,-0.2,0,0,0,0,0,0,0.1,
