Player Name,REC,YDS,TDS,ATT,YDS,TDS,FL,fpts
Jakobi Meyers NE,9.5,122.3,0.7,0,0,0,0,16.6
Russell Shepard NYG,8.3,121.3,0.7,0,0.1,0,0,16.4
Travis Fulgham DET,9.6,124,0.7,0,0,0,0.1,16.4
Russell Gage ATL,8.5,107.1,0.8,0,0,0,0,15.4
Marvin Hall CHI,7.9,116.7,0.5,0,0,0,0,14.7
Darvin Kidsy WAS,5.9,89.1,0.9,0,0,0,0,14.5
Kelvin Harmon WAS,8.5,108,0.6,0,0,0,0.1,14.1
Riley Ridley CHI,8.4,105.8,0.6,0,0,0,0,14
Andy Jones DET,9.9,122.3,0.3,0,0,0,0,14
Austin Carr NO,6.9,89.9,0.8,0,0,0,0,13.9
Cody Core CIN,9.5,111.8,0.4,0,0,0,0,13.7
Brian Quick WAS,8.5,103,0.6,0,0,0,0,13.6
Jehu Chesson WAS,6.8,100.2,0.6,0.1,0.1,0,0,13.5
Terry Godwin CAR,7.6,102.2,0.5,0,0,0,0,13.4
DeAndre Carter HOU,8.1,93.7,0.6,0.1,0.2,0,0,13.1
Chris Lacy DET,8.7,98.6,0.5,0,0,0,0.1,12.9
Artavis Scott LAC,7.2,90,0.5,0,0,0,0,12.1
Mack Hollins PHI,4.8,81.1,0.6,0,0,0,0,11.6
Deontay Burnett NYJ,7.1,78.3,0.6,0,0,0,0,11.3
Geremy Davis LAC,6,83.2,0.5,0,0,0,0,11.1
Jordan Matthews SF,7.4,87.2,0.4,0,0,0,0,11.1
Byron Marshall WAS,5.4,97.4,0.2,0.4,1,0,0,11
Josh Bellamy NYJ,5.4,81.6,0.5,0.1,-0.1,0,0,11
Maurice Harris NE,5.1,73.1,0.5,0.3,1.5,0,0,10.6
Vyncint Smith HOU,5.6,78.4,0.5,0,0,0,0,10.5
Aldrick Robinson CAR,4.2,75.8,0.5,0,0.1,0,0,10.5
Tanner Gentry CHI,5.6,76.9,0.4,0,0,0,0,10.2
Tommylee Lewis DET,6,67.1,0.5,0.3,2,0,0,10
Josh Malone CIN,7,86.8,0.2,0.3,-0.2,0,0.1,9.8
Derrick Willies CLE,5.1,70.1,0.5,0,0,0,0,9.7
Quadree Henderson JAC,5.2,63.5,0.5,0,0,0,0,9
Noah Brown DAL,5.2,69.1,0.4,0,0,0,0,9
Brice Butler MIA,5.9,70.1,0.3,0,0,0,0,9
Brandon Zylstra MIN,4.7,64.1,0.4,0,0,0,0,8.8
Kalif Raymond TEN,6,68.9,0.3,0,0,0,0,8.8
Trevor Davis GB,4.8,64.6,0.4,0,0.4,0,0,8.7
Rashad Ross CAR,3.2,40.9,0.8,0,0,0,0,8.6
K.J. Brent TB,7.4,66.5,0.3,0,0,0,0,8.4
Keon Hatcher OAK,6.1,71.9,0.2,0,0,0,0,8.2
Vince Mayle LAC,2.6,44.8,0.6,0.1,-0.1,0,0,8.2
Damion Ratley CLE,3.8,53.5,0.5,0,0,0,0,8.1
Richie James SF,5.3,67.9,0.2,0,0,0,0,7.8
Cameron Meredith NE,6.3,61.6,0.2,0,0,0,0,7.6
River Cracraft DEN,2.9,55.4,0.3,0,0,0,0,7.6
Kevin White ARI,4.2,57.1,0.3,0,0,0,0,7.5
Marcus Kemp KC,4.5,59.9,0.2,0,0.6,0,0,7.3
Darius Jennings TEN,5.5,56.3,0.3,0.5,1.1,0,0,7.3
Ray-Ray McCloud BUF,2,39.9,0.2,3.4,16.1,0.1,0,7.1
Malik Turner SEA,4.3,40.7,0.5,0,0,0,0,7.1
