Player Name,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,fpts
Ito Smith,ARI,9.5,39.9,0.3,4.7,30.3,0.2,0,9.8
Alec Ingold,LV,4.5,18.8,0.2,6.6,54.5,0.3,0.1,9.8
Patrick Ricard,BAL,0.9,1.4,0,8.8,58.1,0.8,0.5,9.8
C.J. Ham,MIN,4.8,20,0.2,5.9,49.8,0.3,0.1,9.6
Kene Nwangwu,MIN,16.3,65.8,0.2,2.5,18.2,0,0.1,9.6
Tony Brooks-James,PIT,15.5,65.4,0.4,0.9,6.3,0,0,9.4
Khalil Herbert,CHI,9.7,40.4,0.3,2.8,22,0.1,0.1,8.3
Demetric Felton,CLE,9.3,39.5,0.4,1.9,15.2,0.1,0,8.1
Ty Montgomery,NO,14.5,51,0,3.4,23.9,0,0,7.5
Alex Armah,NO,4.2,17.4,0.2,4.2,34.7,0.2,0.1,7.3
Rico Dowdle,DAL,6.8,29,0.2,2.9,22.7,0.1,0.1,7
Andrew Beck,DEN,4.9,21.3,0.2,4.1,28.1,0.2,0,7
Buddy Howell,HOU,4,17.1,0.2,4.1,29.2,0.2,0,6.5
Nick Bellore,SEA,1.5,6.7,0,4.4,31.4,0.3,0,5.8
Gabe Nabers,LAC,3.3,14.4,0.1,3.2,25,0.2,0.1,5.8
Keith Smith,ATL,3.2,13.7,0.1,3.4,26.1,0.2,0.1,5.5
Alfred Morris,NYG,7.3,30.2,0.2,1.5,10.4,0,0,5.4
Kalen Ballage,PIT,7,27.6,0.2,1.8,11.7,0,0.1,5.3
Antonio Williams,BUF,9,37.4,0.2,0.3,2.8,0,0,5
Andy Janovich,CLE,1,4.3,0,3.9,32.6,0.2,0,4.8
Darwin Thompson,KC,6.6,26.1,0.1,1.8,13.8,0,0,4.8
Trenton Cannon,CAR,4.1,17,0.1,2.5,19.2,0.1,0,4.7
Alex Collins,SEA,4.8,20.3,0.2,1.4,10.6,0.1,0.1,4.4
Derek Watt,PIT,4.2,18.1,0.2,1.7,12.2,0.1,0,4.4
Ben Mason,BAL,0,0,0,3.4,27.7,0.2,0,4.1
Dwayne Washington,NO,4.7,20,0.1,1.5,11.6,0,0,4
Michael Burton,KC,3.3,14,0.1,1.8,14.8,0.1,0,3.9
Josh Adams,NYJ,5.1,22.1,0.2,0.9,6.1,0,0,3.8
Corey Clement,NYG,4.2,17.7,0.2,0.5,3.6,0,0,3.1
Dexter Williams,GB,4.4,18.6,0.2,0.4,3.1,0,0,3
Devine Ozigbo,JAC,2.9,12.3,0.1,1.5,11.6,0,0,3
Elijhaa Penny,NYG,2.5,10.3,0.1,1.5,10.9,0,0,2.8
Khari Blasingame,TEN,0.5,2.1,0,2.3,19.3,0.1,0,2.7
