"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Rashee Rice","KC","31.7","459.9","2.5","1.4","9.1","0.0","0.4","61.4"
"Isaiah McKenzie","IND","38.9","403.6","1.9","7.6","49.1","0.3","0.0","58.4"
"Josh Reynolds","DET","31.8","449.1","2.2","0.4","0.5","0.0","0.2","57.7"
"Joshua Palmer","LAC","36.8","459.1","2.0","0.6","2.3","0.0","0.3","57.7"
"Sterling Shepard","NYG","37.7","428.8","2.2","2.1","13.9","0.1","0.3","57.4"
"Jalin Hyatt","NYG","31.4","436.3","2.0","1.5","9.7","0.0","0.5","56.1"
"Nick Westbrook-Ikhine","TEN","29.1","400.6","2.5","0.0","0.4","0.0","0.2","54.6"
"Parris Campbell","NYG","28.4","381.6","1.8","3.2","34.2","0.1","0.2","52.2"
"Terrace Marshall Jr.","CAR","24.2","430.5","1.5","0.0","0.2","0.0","0.0","52.0"
"Ben Skowronek","LAR","39.8","385.4","1.7","0.5","5.5","0.4","0.0","51.2"
"Kendrick Bourne","NE","24.1","376.8","1.6","3.7","27.1","0.1","0.1","50.4"
"Richie James Jr.","KC","29.9","379.6","2.4","0.6","1.7","0.0","1.2","50.0"
"Cedric Tillman","CLE","0.0","442.0","0.5","1.8","11.3","0.1","0.3","48.3"
"Josh Downs","IND","23.6","380.7","1.5","1.3","9.5","0.0","0.2","48.0"
"Marvin Mims Jr.","DEN","24.7","388.5","1.3","1.0","6.2","0.1","0.3","47.2"
"Tutu Atwell","LAR","24.1","339.7","1.3","7.0","34.7","0.5","0.4","47.2"
"Kayshon Boutte","NE","0.0","399.2","0.3","1.6","10.1","0.1","0.3","42.7"
"Laviska Shenault Jr.","CAR","18.0","248.6","0.7","18.5","86.7","0.7","0.2","41.6"
"Puka Nacua","LAR","18.5","294.9","0.8","1.5","9.3","0.1","0.1","35.4"
"Quez Watkins","PHI","16.2","283.0","1.1","0.8","1.8","0.0","0.2","34.9"
