"Player Name","Team","rushing_attempts","rushing_yards","rushing_td","receptions","receiving_yards","receiving_td","fumble_lost","fpts"
"Travis Homer","CHI","17.9","96.4","0.2","8.1","74.8","0.2","0.1","19.6"
"Kene Nwangwu","MIN","35.2","113.0","0.4","6.4","44.3","0.2","0.1","19.2"
"Kyle Juszczyk","SF","8.4","27.0","0.4","13.5","105.9","0.6","0.0","19.1"
"Evan Hull","IND","50.4","125.5","0.4","1.7","38.6","0.0","0.1","18.4"
"Deneric Prince","KC","40.8","110.5","0.3","4.3","42.3","0.1","0.2","17.5"
"Tyler Badie","DEN","14.9","83.5","0.4","9.5","54.3","0.2","0.1","17.5"
"Brandon Bolden","LV","15.6","73.5","0.5","7.4","62.4","0.2","0.2","17.4"
"Rico Dowdle","DAL","28.6","99.6","0.5","4.2","34.2","0.1","0.1","17.2"
"Demetric Felton Jr.","CLE","13.1","67.7","0.3","10.7","69.9","0.2","0.1","16.5"
"Eno Benjamin","NO","29.1","90.5","0.1","3.9","62.0","0.1","0.0","16.2"
"Tony Jones Jr.","DEN","25.9","94.7","0.4","6.3","35.4","0.2","0.1","16.1"
"Snoop Conner","JAC","19.8","90.5","0.8","3.2","19.0","0.1","0.1","16.0"
"Salvon Ahmed","MIA","31.7","97.1","0.1","4.3","52.1","0.1","0.0","15.9"
"Nyheim Hines","BUF","0.0","13.4","0.1","11.5","101.7","0.5","0.0","15.3"
"Brittain Brown","LV","17.3","77.7","0.6","4.1","33.6","0.1","0.0","15.2"
"Lew Nichols III","GB","24.0","97.0","0.5","4.0","25.4","0.0","0.1","15.1"
"Dare Ogunbowale","HOU","10.5","67.2","0.3","9.1","53.8","0.2","0.0","15.0"
"Myles Gaskin","MIA","30.3","89.5","0.1","4.4","56.3","0.1","0.4","14.8"
"Zamir White","LV","28.5","94.9","0.6","2.5","9.9","0.1","0.0","14.6"
"Darrynton Evans","BUF","8.9","37.6","0.2","8.9","67.4","0.5","0.0","14.6"
"Jordan Mims","BUF","0.0","56.4","0.4","5.7","42.6","0.2","0.1","13.5"
"Gary Brightwell","NYG","8.6","75.1","0.4","5.1","27.3","0.1","0.1","13.3"
"Reggie Gilliam","BUF","4.5","18.8","0.2","8.9","65.8","0.5","0.0","12.5"
"Craig Reynolds","DET","16.4","64.8","0.1","4.4","46.3","0.1","0.0","12.5"
"Tiyon Evans","CAR","29.5","93.5","0.0","0.0","34.7","0.0","0.2","12.4"
"Justice Hill","BAL","16.5","72.0","0.2","6.3","34.0","0.1","0.2","12.3"
"Ty'Son Williams","ARI","19.3","67.5","0.4","3.6","25.1","0.1","0.0","12.0"
"Jonathan Williams","WAS","25.6","70.8","0.3","3.4","22.8","0.1","0.1","11.5"
"Keaton Mitchell","BAL","26.6","83.6","0.0","0.0","31.0","0.0","0.1","11.3"
"Damarea Crockett","NYJ","21.0","59.9","0.5","2.3","18.0","0.1","0.0","11.1"
"C.J. Ham","MIN","10.4","22.8","0.2","7.3","53.3","0.4","0.0","11.0"
"Zander Horvath","LAC","6.1","14.3","0.0","5.5","25.2","1.1","0.0","10.8"
