"Player Name","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","fpts"
"Avery Williams","ATL","1.8","5.0","0.0","0.6","4.3","0.0","0.0","1.5"
"Malcolm Brown","LAR","1.9","7.5","0.0","0.5","3.0","0.0","0.0","1.5"
"Justice Hill","BAL","0.6","3.6","0.0","0.8","5.2","0.0","0.0","1.5"
"Trayveon Williams","CIN","0.0","5.9","0.0","0.4","2.4","0.0","0.0","1.4"
"Chris Evans","CIN","0.0","4.5","0.0","0.4","2.6","0.0","0.0","1.2"
"Taiwan Jones","BUF","0.0","2.0","0.0","0.5","5.1","0.0","0.0","1.2"
"D'Ernest Johnson","CLE","0.0","4.5","0.0","0.4","1.9","0.0","0.0","1.1"
"Keaontay Ingram","ARI","2.0","6.8","0.0","0.2","0.9","0.0","0.0","1.1"
"Trestan Ebner","CHI","0.0","3.4","0.0","0.3","3.3","0.0","0.0","1.0"
"Dwayne Washington","NO","0.0","1.9","0.0","0.4","3.1","0.0","0.0","0.9"
"Derek Watt","PIT","0.0","4.0","0.0","0.3","1.0","0.0","0.0","0.9"
"Brittain Brown","LV","0.0","3.1","0.0","0.3","1.8","0.0","0.0","0.9"
"C.J. Ham","MIN","0.0","3.6","0.0","0.3","1.4","0.0","0.0","0.8"
"Jerome Ford","CLE","0.0","3.9","0.0","0.2","0.6","0.0","0.0","0.7"
"Patrick Ricard","BAL","0.0","1.2","0.0","0.4","2.3","0.0","0.0","0.7"
"Kene Nwangwu","MIN","0.0","4.0","0.0","0.2","0.3","0.0","0.0","0.7"
"Adam Prentice","NO","0.0","2.0","0.0","0.3","1.5","0.0","0.0","0.7"
"Keith Smith","ATL","0.0","1.7","0.0","0.2","0.5","0.0","0.0","0.5"
"Nick Bellore","SEA","0.0","1.6","0.0","0.2","0.9","0.0","0.0","0.5"
"Khari Blasingame","CHI","0.0","1.2","0.0","0.2","1.0","0.0","0.0","0.5"
"Jakob Johnson","LV","0.0","1.8","0.0","0.1","1.0","0.0","0.0","0.4"
"Jason Cabinda","DET","0.0","1.3","0.0","0.3","0.8","0.0","0.0","0.4"
"Michael Burton","KC","0.0","1.8","0.0","0.2","0.0","0.0","0.0","0.3"
"Zander Horvath","LAC","0.0","1.1","0.0","0.2","0.1","0.0","0.0","0.3"
