Player Name,ATT,YDS,TDS,REC,YDS,TDS,FL,fpts
Taiwan Jones HOU,13.3,20.5,0,3.9,36.2,0.2,0,7.1
Patrick DiMarco BUF,7.1,21.3,0.1,3.6,28.2,0.1,0,6.6
Kenjon Barner ATL,8.3,30.8,0.2,3.6,23,0,0,6.5
Taquan Mizzell CHI,7.6,24.7,0.1,3.5,29.1,0.1,0,6.5
Jeremy McNichols TEN,7.3,27,0.2,3.3,20.7,0,0,6.3
Jamize Olawale DAL,6.8,17.8,0.1,3.8,28.7,0.2,0,6.2
De'Lance Turner BAL,4.5,18.9,0.2,2.2,22.7,0.2,0,6
Jonathan Williams IND,6.7,20.6,0.2,3.2,19.2,0.1,0,5.8
Garrett Griffin NO,5.1,19,0.2,2.7,22.5,0.1,0,5.8
De'Angelo Henderson MIN,5.3,16.1,0.1,4.1,25.9,0.2,0,5.6
Michael Burton NO,7,22.9,0.2,3.2,23.8,0,0,5.6
Derek Watt LAC,5.1,15,0.1,3.7,22.3,0.2,0,5.6
Roosevelt Nix PIT,4,9.2,0.1,4.9,33.7,0.1,0,5.5
Brandon Wilds SF,6.5,22.4,0.1,3.9,21.9,0,0,5.3
Nick Bawden DET,0,5,0.1,4.5,27.6,0.2,0,5.2
Ricky Ortiz ATL,8.8,17.4,0.1,3.5,19.4,0.1,0,5.1
Tommy Bohanon GB,5,8.1,0.1,3.5,25.3,0.2,0,4.8
Senorise Perry BUF,3.5,15.9,0.1,2.3,18.4,0,0,4.4
Keith Smith OAK,4.8,8,0,3.7,24.6,0.1,0,4
Gregory Howell HOU,1.9,7.9,0,1.2,9.6,0,0,1.9
Dan Vitale GB,0,0,0,2.2,14.9,0.1,0,1.9
Keith Ford GB,0,0,0,0,0,0,0,0
Devante Mays JAC,0,0,0,0,0,0,0,0
Donnel Pumphrey PHI,0,0,0,0,0,0,0,0
Elijah Holyfield CAR,0,0,0,0,0,0,0,0
Cethan Carter CIN,0,0,0,0,0,0,0,0
Elijah Hood JAC,0,0,0,0,0,0,0,0
Akeem Hunt TEN,0,0,0,0,0,0,0,0
Khalfani Muhammad DEN,0,0,0,0,0,0,0,0
Karan Higdon HOU,8,33.3,0.2,0,0,0,0,0
Roc Thomas JAC,0,0,0,0,0,0,0,0
David Williams DEN,0,0,0,0,0,0,0,0
Shane Smith NO,0,0,0,0,0,0,0,0
Byron Marshall WAS,0,0,0,0,0,0,0,0
Devine Ozigbo NO,0,0,0,0,0,0,0,0
Mack Brown OAK,0,0,0,0,0,0,0,0
Marcus Murphy BUF,0,0,0,0,0,0,0,0
Malcolm Johnson GB,0,0,0,0,0,0,0,0
Quinton Flowers CIN,0,0,0,0,0,0,0,0
Chandler Cox MIA,0,0,0,0,0,0,0,0
Kerwynn Williams NO,0,0,0,0,0,0,0,0
Cullen Gillaspia HOU,0,0,0,0,0,0,0,0
Alex Barnes TEN,0,0,0,0,0,0,0,0
Bo Scarbrough SEA,0,0,0,0,0,0,0,0
Mike Weber DAL,4.1,16.3,0.1,0,0,0,0,0
